CODIGO;DESCRICAO
01;RS - Met. Porto Alegre e Caxias do Sul
02;RS - Demais regiões
03;SC - Met. Florianópolis e Sul
04;SC - Oeste
05;SC - Blumenau e demais regiões
06;PR - F.Iguaþu-Medianeira-Cascavel-Toledo
07;PR - Met. Curitiba
08;PR - Demais regiões
09;SP - Vale do Paraíba e Ribeira
10;SP - Litoral Norte e Baixada Santista
11;SP - Met. de São Paulo
12;SP - Grande Campinas
13;SP - Ribeirão Preto e Demais Mun. de Campinas
14;MG - Triângulo mineiro
15;MG - Sul
16;MG - Met.BH-Centro Oeste-Zona Mata-C. Vertentes
17;MG - Vale do Aço-Norte-Vale Jequitinhonha
18;RJ - Met. do Rio de Janeiro
19;RJ - Interior
20;ES - Espírito Santo
21;BA - Bahia
22;SE - Sergipe
23;PE - Pernambuco
24;PB - Paraíba
25;RN - Rio Grande do Norte
26;AL - Alagoas
27;CE - Ceará
28;PI - Piaui
29;MA - Maranhão
30;PA - Pará
31;AM - Amazonas
32;AP - Amapá
33;RO - Rondônia
34;RR - Roraima
35;AC - Acre
36;MT - Mato Grosso
37;MS - Mato Grosso do Sul
38;DF - Brasília
39;GO - Goiás
40;TO - Tocantins
41;GO - Sudeste de Goiás
