Descrição,Umidade (%),Energia (kcal),Proteína (g),Lipídeos (g),Carboidrato (g),Fibra (g),Cálcio (mg),Ferro (mg)
Abacate,83.8,96,1.2,8.4,6.0,6.3,8,15
Abacaxi,86.3,48,0.9,0.1,12.3,1.0,22,18
Acerola,90.5,33,0.9,0.2,8.0,1.5,13,13
Banana da terra,63.9,128,1.4,0.2,33.7,1.5,4,24
Banana figo,70.1,105,1.1,0.1,27.8,2.8,6,30
Banana maçã,75.2,87,1.8,0.1,22.3,2.6,3,24
Banana nanica,73.8,92,1.4,0.1,23.8,1.9,3,28
Banana ouro,68.2,112,1.5,0.2,29.3,2.0,3,28
Banana prata,71.9,98,1.3,0.1,26.0,2.0,8,26
Cacau,79.2,74,1.0,0.1,19.4,2.2,12,25
Cajá-Manga,86.9,46,1.3,0.0,11.4,2.6,13,11
Caju,88.1,43,1.0,0.3,10.3,1.7,1,10
Carambola,87.1,46,0.9,0.2,11.5,2.0,5,7
Cupuaçu,86.2,49,1.2,1.0,10.4,3.1,13,18
Figo,88.2,41,1.0,0.2,10.2,1.8,27,11
Goiaba branca com casca,85.7,52,0.9,0.5,12.4,6.3,5,7
Goiaba vermelha com casca,85.0,54,1.1,0.4,13.0,6.2,4,7
Graviola,82.2,62,0.8,0.2,15.8,1.9,40,23
Jabuticaba,83.6,58,0.6,0.1,15.3,2.3,8,18
Jaca,75.1,88,1.4,0.3,22.5,2.4,11,40
Kiwi,85.9,51,1.3,0.6,11.5,2.7,24,11
Laranja baía,87.1,45,1.0,0.1,11.5,1.1,35,9
Laranja lima,87.0,46,1.1,0.1,11.5,1.8,31,10
Laranja pêra,89.6,37,1.0,0.1,8.9,0.8,22,9
Maçã Argentina com casca,82.6,63,0.2,0.2,16.6,2.0,3,5
Maçã Fuji com casca,84.3,56,0.3,0.0,15.2,1.3,2,2
Mamão Formosa,86.9,45,0.8,0.1,11.6,1.8,25,17
Mamão Papaia,88.6,40,0.5,0.1,10.4,1.0,22,22
Manga Haden,82.3,64,0.4,0.3,16.7,1.6,12,8
Manga Palmer,79.7,72,0.4,0.2,19.4,1.6,12,9
Manga Tommy Atkins,85.8,51,0.9,0.2,12.8,2.1,8,7
Maracujá,82.9,68,2.0,2.1,12.3,1.1,5,28
Melancia,90.7,33,0.9,0.0,8.1,0.1,8,10
Melão,91.3,29,0.7,0.0,7.5,0.3,3,6
Mexerica Murcote,83.7,58,0.9,0.1,14.9,3.1,33,12
Mexerica Rio,89.6,37,0.7,0.1,9.3,2.7,17,8
Morango,91.5,30,0.9,0.3,6.8,1.7,11,10
Pêra Park,83.2,61,0.2,0.2,16.1,3.0,9,6
Pêra Williams,85.0,53,0.6,0.1,14.0,3.0,8,6
Pinha,75.0,88,1.5,0.3,22.4,3.4,21,31
Pitanga,88.3,41,0.9,0.2,10.2,3.2,18,12
Romã,84.0,56,0.4,0.0,15.1,0.4,5,13
Tangerina Poncã,89.2,38,0.8,0.1,9.6,0.9,13,8
